domain,severity,category,vt_score,registered,status,hosting_country,allocation_holder,apnic_region,registrar,ip,priority_score
1x-bet-casino.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,172.67.188.237,5
1xbet-app-download.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,104.21.4.222,5
1xbet-appdownload.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,162.255.119.217,0
1xbet-casino-online.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
1xbet-download.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,172.67.212.181,5
1xbet-ipl-betting.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,104.21.75.180,5
1xbet-login-online.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
1xbet365.co.in,INACTIVE,BENIGN,0/94,,DOWN,India,Hiox Softwares Private Limited,India,Unknown,,0
1xbetbonus.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,185.163.16.22,5
1xbetdownload.co.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,76.223.67.189,5
1xbetdownload.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,172.67.138.228,5
1xbetlogin.in,MEDIUM,PHISHING,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,172.67.168.154,0
1xbetsupport.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
aadhar-card-download.co.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
aadhar-card-download.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
bet365-bonus-code.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,185.41.91.87,5
bet365-bonus.in,MEDIUM,PHISHING,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,185.51.145.110,0
bet365-bonuscode.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,185.51.144.64,5
bet365bonus.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,185.51.146.112,0
dafabet-download.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,193.169.188.254,5
dafabet365.in,MEDIUM,UNKNOWN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,3.33.130.190,0
dafabetcasinologin.co.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
dafabetlogin.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,185.53.179.136,0
download-1xbet.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
download1xbet.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,217.21.94.144,0
download1xbetapp.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,194.67.71.133,0
epfoclaimstatus.org.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,75.2.103.23,5
fair-playlogin.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,76.223.67.189,5
fairplay-login.in,MEDIUM,PHISHING,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,172.67.208.188,0
fairplaylogin.ind.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
fairplaylogin.org.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
fairplays24.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,198.12.222.155,5
fairplays24.ind.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,104.21.18.215,5
fairplays247.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
fairplayy24.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,118.139.182.85,0
fairplayy247.net.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
helpdesk1aadhar.co.in,MEDIUM,UNKNOWN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,3.33.130.190,0
lotus365appsdownload.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
lotus365casino.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,91.108.107.210,0
lotus365casinos.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,76.223.67.189,5
lotus365login.in,MEDIUM,UNKNOWN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,3.33.130.190,0
lotus365loginn.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
lotus365matka.co.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
lotus365matka.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,88.223.87.21,5
lotus365poker.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,76.223.67.189,5
officiallotus365login.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
pari-match-casino.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,185.53.179.128,0
parimatch-bonus.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
parimatch-bonus24.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,172.67.143.33,5
parimatch-casino-apk.in,MEDIUM,UNKNOWN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,10
parimatch-casino24.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
parimatch-download.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,172.67.184.205,5
parimatch-login-online.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
parimatch-login.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,104.21.35.94,0
parimatchappdownload.in,MEDIUM,PHISHING,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,104.21.63.79,0
parimatchlogin.co.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
parimatchwidrawsupport.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
pmkisan-status.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
pmkisanstatus.co.in,MEDIUM,PHISHING,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,104.21.35.76,0
pmkisanstatus.ind.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,139.59.45.245,0
pmkisanstatus.net.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,82.112.239.237,0
pmkisanstatus.org.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
pmkisanstatuscheck.co.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
yono-bet365.in,INACTIVE,BENIGN,0/94,,DOWN,Unknown,Unknown,Unknown,Unknown,,0
yonobet365.in,LOW,BENIGN,0/94,,ACTIVE,Unknown,Unknown,Unknown,Unknown,91.195.240.123,5
